pop	mahalDist	southernEdgeDist	Zone	Location	State_Province	NumInds	Longitude	Latitude	popnames	pai203_sum	numloci	painorm
USDA14	14.5518589364224	354089.033680211	Edge	Pembine	WI	4	-88.03	45.58	USDA14	38.8129566923571	195	0.199040803550549
USDA15	13.0709342091968	475968.676362469	Edge	Shingleton	MI	5	-86.87	46.42	USDA15	27.6462178757489	197	0.140336131348979
USDA16	19.1341325520622	478152.286231398	Edge	Blaney_Park	MI	5	-85.85	46.08	USDA16	25.3018252050968	196	0.129090944923963
USDA17	17.0901667292686	511542.217279255	Edge	Hessel	MI	7	-84.5	46	USDA17	29.8480780638557	201	0.148497900815202
USDA18	18.2076064886821	448525.355944136	Edge	Afton	MI	7	-84.5	45.42	USDA18	25.3519735874688	201	0.126129221828203
USDA19	16.4127086685785	406371.792152907	Edge	Johannesburg	MI	3	-84.3	45	USDA19	31.8186987793321	193	0.164863724245244
USDA2	14.3507482250602	392121.687744813	Edge	Floodwood	MN	7	-92.98	46.75	USDA2	26.6347909064727	198	0.134519145992286
USDA21	14.8614312653852	303878.05558978	Edge	Antigo	WI	4	-89.23	45.42	USDA21	32.3761685381018	195	0.166031633528727
USDA3	20.0822039213575	448967.088626944	Edge	Two_Harbors	MN	3	-91.67	47.17	USDA3	36.2953658944932	194	0.187089514920068
USDA4	10.2236257724898	531459.391134926	Edge	Ely	MN	5	-91.67	47.92	USDA4	30.1220996718544	199	0.151367335034444
USDA5	12.889298458448	466410.70020058	Edge	Hibbing	MN	5	-92.98	47.42	USDA5	29.6637390709806	200	0.148318695354903
USDA6	12.9870929036281	521885.266943309	Edge	Cook	MN	2	-92.98	47.92	USDA6	40.6303359261979	189	0.214975322360836
USDA7	8.59911082885661	577387.225829956	Edge	Kabetogama	MN	4	-92.98	48.42	USDA7	34.3195679815186	194	0.176904989595457
USDA8	10.6840882506639	566130.238944869	Edge	Waskish	MN	3	-94.52	48.33	USDA8	31.8346298342345	179	0.177847094046003
USDA9	12.0814865367249	520557.036552433	Edge	Blackduck	MN	5	-94.52	47.92	USDA9	29.5860440298734	196	0.150949204234048
VER	7.50954106896154	704329.924494891	Edge	Stowe/Waterbury	VT	4	-72.63	44.38	VER	35.7837004802945	196	0.182569900409666
WLK	20.8345278943538	2789781.3438174	Core	Watson_Lake	YT	13	-128.46	60.05	WLK	40.644169668155	203	0.200217584572192
WTR	23.3215285128598	745159.808142673	Core	White_River	ON	12	-85.27	48.59	WTR	28.4982640901416	201	0.141782408408665
